date,time,m1,m2,m3,m4
20160903,22:02:07, 0,1,0,0
20160903,22:02:30, 0,0,0,0
20160903,22:02:50, 0,0,0,0
20160903,22:03:10, 0,0,0,0
20160903,22:03:34, 0,1,0,0
20160903,22:03:56, 0,1,0,0
20160903,22:04:20, 0,0,0,0
20160903,22:04:40, 0,0,0,0
20160903,22:05:00, 0,0,0,0
20160903,22:05:22, 0,1,0,0
20160903,22:05:45, 0,1,0,0
20160903,22:06:10, 0,0,0,0
20160903,22:06:30, 0,0,0,0
20160903,22:06:50, 0,0,0,0
20160903,22:07:15, 0,1,0,0
20160903,22:07:40, 0,1,0,0
20160903,22:08:05, 0,0,0,0
20160903,22:08:25, 0,0,0,0
20160903,22:08:45, 0,0,0,0
20160903,22:09:10, 0,1,0,0
20160903,22:09:35, 0,1,0,0
20160903,22:09:57, 0,0,0,0
20160903,22:10:17, 0,0,0,0
20160903,22:10:37, 0,0,0,0
20160903,22:11:00, 0,0,1,0
20160903,22:11:24, 0,0,1,0
20160903,22:11:45, 0,0,0,0
20160903,22:12:05, 0,0,0,0
20160903,22:12:25, 0,0,0,0
20160903,22:12:46, 0,0,1,0
20160903,22:13:07, 0,0,1,0
20160903,22:13:29, 0,0,0,0
20160903,22:13:49, 0,0,0,0
20160903,22:14:09, 0,0,0,0
20160903,22:14:30, 0,0,1,0
20160903,22:14:51, 0,0,1,0
20160903,22:15:15, 0,0,0,0
20160903,22:15:35, 0,0,0,0
20160903,22:15:55, 0,0,0,0
20160903,22:16:17, 0,0,1,0
20160903,22:16:39, 0,0,1,0
20160903,22:17:03, 0,0,0,0
20160903,22:17:23, 0,0,0,0
20160903,22:17:43, 0,0,0,0
20160903,22:18:04, 0,0,1,0
20160903,22:18:31, 0,0,1,0
20160903,22:18:54, 0,0,0,0
20160903,22:19:14, 0,0,0,0
20160903,22:19:34, 0,0,0,0
20160903,22:19:59, 0,0,1,0
20160903,22:20:19, 0,0,1,0
20160903,22:20:41, 0,0,0,0
20160903,22:21:01, 0,0,0,0
20160903,22:21:21, 0,0,0,0
20160903,22:21:46, 0,0,1,0
20160903,22:22:06, 0,0,1,0
20160903,22:22:30, 0,0,0,0
20160903,22:22:50, 0,0,0,0
20160903,22:23:10, 0,0,0,0
20160903,22:23:35, 0,0,1,0
20160903,22:23:55, 0,0,1,0
20160903,22:24:20, 0,0,0,0
20160903,22:24:40, 0,0,0,0
20160903,22:25:00, 0,0,0,0
20160903,22:25:24, 0,0,1,0
20160903,22:25:45, 0,0,1,0
20160903,22:26:10, 0,0,0,0
20160903,22:26:30, 0,0,0,0
20160903,22:26:50, 0,0,0,0
20160903,22:27:11, 0,0,1,0
20160903,22:27:34, 0,0,1,0
20160903,22:27:58, 0,0,0,0
20160903,22:28:18, 0,0,0,0
