################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -i 5 --iosize -oD -scdmnj -P --sep , -f myfile.out 
# Host:       stackstorm-fe68isa7  DaemonOpts: 
# Booted:     1472500079.32 [20160829-19:47:59]
# Distro:     debian jessie/sid, Ubuntu 14.04.4 LTS  Platform: 
# Date:       20160903-213522  Secs: 1472938522 TZ: +0000
# SubSys:     cdmnj Options: D Interval: 5 NumCPUs: 1  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2194.679 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.19.0-49-generic  Memory: 3523128 kB  Swap: 4194300 kB
# NumDisks:   2 DiskNames: sda sdb
# NumNets:    6 NetNames: veth4b26ff5:10000 eth0:?? vethbf7c388:10000 docker0:?? veth505a383:10000 lo:??
# SCSI:       DA:2:00:00:00 DA:3:00:01:00
################################################################################
#Date,Time,[CPU]User%,[CPU]Nice%,[CPU]Sys%,[CPU]Wait%,[CPU]Irq%,[CPU]Soft%,[CPU]Steal%,[CPU]Idle%,[CPU]Totl%,[CPU]Intrpt/sec,[CPU]Ctx/sec,[CPU]Proc/sec,[CPU]ProcQue,[CPU]ProcRun,[CPU]L-Avg1,[CPU]L-Avg5,[CPU]L-Avg15,[CPU]RunTot,[CPU]BlkTot,[MEM]Tot,[MEM]Used,[MEM]Free,[MEM]Shared,[MEM]Buf,[MEM]Cached,[MEM]Slab,[MEM]Map,[MEM]Anon,[MEM]Commit,[MEM]Locked,[MEM]SwapTot,[MEM]SwapUsed,[MEM]SwapFree,[MEM]SwapIn,[MEM]SwapOut,[MEM]Dirty,[MEM]Clean,[MEM]Laundry,[MEM]Inactive,[MEM]PageIn,[MEM]PageOut,[MEM]PageFaults,[MEM]PageMajFaults,[MEM]HugeTotal,[MEM]HugeFree,[MEM]HugeRsvd,[MEM]SUnreclaim,[NET]RxPktTot,[NET]TxPktTot,[NET]RxKBTot,[NET]TxKBTot,[NET]RxCmpTot,[NET]RxMltTot,[NET]TxCmpTot,[NET]RxErrsTot,[NET]TxErrsTot,[DSK]ReadTot,[DSK]WriteTot,[DSK]OpsTot,[DSK]ReadKBTot,[DSK]WriteKBTot,[DSK]KbTot,[DSK]ReadMrgTot,[DSK]WriteMrgTot,[DSK]MrgTot
20160903,22:10:28,6,0,3,2,0,0,0,89,9,18,1260,0,358,4,15.95,19.35,14.79,0,0,3523128,573500,2949628,0,4884,48552,53464,33420,302644,2299060,0,4194300,1072712,3121588,3,0,1864,0,0,19680,126,49,210,4,0,0,0,26308,9,13,1,4,0,0,0,0,0,11,2,14,126,50,176,1,5,7
20160903,22:10:33,6,0,3,3,0,0,0,88,10,18,1395,0,356,0,14.67,19.03,14.71,0,0,3523128,573220,2949908,0,4900,49400,53496,31360,301504,2299060,0,4194300,1072704,3121596,4,0,72,0,0,18640,185,522,326,36,0,0,0,26340,8,13,1,5,0,0,0,0,0,39,102,141,185,524,709,0,5,6
20160903,22:10:38,13,0,8,2,0,0,0,77,21,18,1327,3,367,11,13.49,18.72,14.63,11,1,3523128,883304,2639824,0,4944,341196,60916,31124,312168,2299060,0,4194300,1072592,3121708,3,0,291548,0,0,308580,22,273,881,4,0,0,0,26340,8,12,1,3,0,0,0,0,0,5,38,44,22,193,215,0,19,19
20160903,22:10:43,94,0,5,0,0,0,0,0,100,18,1373,0,367,1,13.62,18.66,14.63,1,12,3523128,1171076,2352052,0,4964,620840,69096,31152,312216,2299060,0,4194300,1072576,3121724,0,0,394948,0,0,587104,6,35260,12,1,0,0,0,27332,7,11,1,4,0,0,0,0,0,1,64,65,5,23363,23368,0,6,6
20160903,22:10:48,95,0,4,0,0,1,0,0,100,18,1299,0,367,1,13.97,18.65,14.65,1,17,3523128,1279584,2243544,0,4976,726528,72032,31220,312276,2299060,0,4194300,1072548,3121752,2,0,357012,0,0,692216,68,28727,184,4,0,0,0,27556,10,16,3,5,0,0,0,0,0,4,57,61,38,25649,25688,0,4,4
20160903,22:10:53,97,0,3,0,0,0,0,0,100,18,1276,0,367,1,14.53,18.68,14.68,1,16,3523128,1393872,2129256,0,5032,837848,74832,31656,312364,2299060,0,4194300,1072396,3121904,5,0,369472,0,0,802900,122,19712,32,6,0,0,0,27516,7,10,1,3,0,0,0,0,0,10,45,55,142,20118,20259,1,5,6
20160903,22:10:58,86,0,5,8,0,0,0,0,92,18,1343,1,368,1,14.89,18.69,14.71,0,15,3523128,722872,2800256,0,5036,189968,59196,34056,304096,2312852,0,4194300,1072368,3121932,1,0,35076,0,0,157536,78,16394,304,3,0,0,0,27612,7,11,1,4,0,0,0,0,0,3,41,44,67,19575,19642,0,0,0
20160903,22:11:03,46,0,11,43,0,0,0,0,57,18,1594,5,379,1,15.70,18.79,14.76,1,22,3523128,1120236,2402892,0,5044,555516,67604,34820,326444,2312852,0,4194300,1070968,3123332,146,0,398448,0,0,521480,705,23082,1644,94,0,0,0,27540,5,10,0,4,0,0,0,0,0,101,110,211,728,20322,21049,54,0,54
20160903,22:11:08,94,0,6,0,0,0,0,0,100,18,1457,1,377,1,16.76,18.96,14.84,1,24,3523128,1240052,2283076,0,5060,673932,70784,32696,325212,2312852,0,4194300,1070964,3123336,1,0,395132,0,0,639148,5,24433,386,1,0,0,0,27636,12,18,3,4,0,0,0,0,0,1,46,46,2,22490,22492,0,12,13
20160903,22:11:13,97,0,2,0,0,0,0,0,100,18,1418,0,377,1,17.50,19.08,14.90,1,1,3523128,1319716,2203412,0,5064,751772,72564,32696,325236,2312852,0,4194300,1070940,3123360,1,0,423240,0,0,716700,7,10242,101,1,0,0,0,27380,10,16,3,5,0,0,0,0,0,1,51,52,9,123306,123314,0,0,0
20160903,22:11:18,96,0,4,0,0,0,0,0,100,18,1317,0,377,1,18.18,19.20,14.96,1,22,3523128,1414612,2108516,0,5076,843892,75080,32720,325256,2312852,0,4194300,1070920,3123380,1,0,425124,0,0,808396,6,18090,177,1,0,0,0,27444,4,7,0,4,0,0,0,0,0,1,23,24,5,11710,11714,0,11,11
20160903,22:11:23,46,0,5,48,0,1,0,0,52,18,1346,0,363,1,17.93,19.13,14.96,0,10,3523128,679936,2843192,0,5104,146296,58764,32720,305276,2312852,0,4194300,1070868,3123432,2,0,25088,0,0,113468,10,23792,103,2,0,0,0,27340,13,21,3,4,0,0,0,0,0,2,64,66,9,29970,29978,0,7,7
20160903,22:11:28,65,0,11,24,0,0,0,0,76,18,1527,7,387,1,19.30,19.39,15.07,1,31,3523128,1163636,2359492,0,5120,588248,68320,32720,335872,2327188,0,4194300,1070716,3123584,3,0,425492,0,0,553736,12,25050,2029,3,0,0,0,27280,9,14,1,5,0,0,0,0,0,3,100,103,14,17602,17615,0,8,8
20160903,22:11:33,96,0,3,0,0,0,0,0,100,18,1529,1,389,1,20.55,19.65,15.17,1,1,3523128,1288972,2234156,0,5136,709284,71732,34488,336704,2327188,0,4194300,1070708,3123592,0,0,433296,0,0,674228,3,22976,343,0,0,0,0,27592,7,13,1,5,0,0,0,0,0,1,62,63,3,128426,128429,0,7,7
20160903,22:11:38,97,0,3,0,0,0,0,0,100,18,1406,0,389,1,21.71,19.90,15.28,1,34,3523128,1400128,2123000,0,5148,816908,74684,34884,337144,2327188,0,4194300,1070700,3123600,1,0,401852,0,0,781360,6,27907,171,1,0,0,0,27768,9,13,2,3,0,0,0,0,0,1,45,46,5,18363,18368,0,7,7
